#Wake Up in #Brooklyn... @ Hotel Le Jolie http://t.co/5aXREre9sE	40.71660077	-73.95056784		259797929	1381270382	twitter_instagram
I'm at Mad. Sq. Eats - @madsqparknyc (New York, NY) w/ 10 others http://t.co/q84kb8GnOX	40.74265628	-73.98901463	Brooklyn	41247812	1381270388	twitter_foursquare
Off to @NYTM in #taxioftomorrow w/#gloverparkgroup's @jennamatecki &amp; @bgluckman; @StickShift_VF driving. http://t.co/YZnVvAQjzo	40.735176	-73.987907	Brooklyn, NY	5514642	1381270393	twitter_other
lol yeah right fuck school	40.74763055	-73.99610782	New York City 	51544101	1381270401	twitter_iphone
happy I get to focus on school now	40.74770153	-73.99616229	New York City 	51544101	1381270401	twitter_iphone
Meanwhile in Steelers Nation http://t.co/EdTAachzcd	40.79188762	-74.00038351	NJ/Home of The Jets 	38994410	1381270403	twitter_iphone
If you were any less in shape you'd be in a coma.	40.69411936	-73.92104509	Virgo Megacluster	64663266	1381270406	twitter_iphone
This crooked mind of mine had you shook all the time	40.79925149	-73.94668769	New York, NY	1931360646	1381270406	twitter_iphone
Ink Master, beers and a lease signing. I'm def the hardest working man in real estate. (@ American Whiskey) http://t.co/9IzWG5e4Q1	40.74926446	-73.99426568	NYC	14139345	1381270413	twitter_foursquare
Is there way to make the space bar bigger again I hate this shit I'm.always.typing.like.this #iOS7Problems	40.73912146	-74.02974252	Hoboken, NJ	295456606	1381270414	twitter_iphone
lol yeah right fuck school	40.74763055	-73.99610782	New York City 	51544101	1381270422	twitter_iphone
Gatsby's world NYC!!!!!! http://t.co/Q77nICi9bs	40.76114721	-73.97133695	México	90950820	1381270425	twitter_iphone
On my way to teach karate, if anyone wants their kids to have a free tryout lesson hit me up	40.72464835	-73.89766253	Queens, NY	552939741	1381270437	twitter_iphone
It by home staying at tonight (@ P.S. 13) http://t.co/JGj1DwIqPs	40.73791872	-73.86764903		32810731	1385432685	twitter_foursquare
Music writing in my head :)	40.7586698	-74.0489679		355074687	1385432689	twitter_android
Check out my new ride http://t.co/lvuttGSLFu	40.7740065	-73.9945008		868002253	1381270429	twitter_android
I'm at Hotel Tortuga (New York, NY) http://t.co/JmrCX6ZhL8	40.73253747	-73.98533014	Auckland New Zealand	21545115	1381270432	twitter_foursquare
I walk in the bike lane #idgaf	40.75971427	-73.98795112	Instagram: dreambignj	291476736	1381270432	twitter_iphone
Greenpoint Ave #sunset #nyc @ Studio 220 http://t.co/BHXWCnL2R8	40.72995758	-73.95828247	New York City	258673701	1381270435	twitter_instagram
New... Panic at the Disco - Miss Jackson - feat. Lolo http://t.co/xJBpOILlMs	40.7539097	-73.9895147	Queens, NY	23897833	1381270440	twitter_other
#RedCarpet #Time #12YearsASlave @jaegerlecoultre and @FilmLinc, @TheNYFF #NYFF #Cinema #Partnership http://t.co/wo9GrpgFno	40.77296738	-73.98328953	Le Sentier, Switzerland	182819292	1381270440	twitter_iphone
I'm at Central Park Running Path - @nycparks (New York, NY) w/ 8 others http://t.co/CixQZax1NC	40.7689206	-73.97960246	41.06698,-73.696558	193297357	1381270440	twitter_foursquare
I'm at Ten Over Ten (New York, NY) http://t.co/oGvL4kgbyu	40.71590072	-74.00878432	New York	25079580	1381270445	twitter_foursquare
t-45 minutes	40.75805624	-73.98532252		607799892	1381270455	twitter_iphone
Your d half staff	40.75088927	-73.99300879	Brooklyn	81664952	1381270456	twitter_iphone
If you juat joined us, welcome! The USA Recce Trip is kicking off, best you check out http://t.co/D8PhIBqdGt and get to grip with the vibe!	40.7044798	-74.0145476	Southern Africa / USA	122763263	1381270458	twitter_android
 I mean it doesn't taste like poison  #juicecleanse http://t.co/oBYfwKKAWI	40.78724084	-73.973835	manhattan	118195013	1381270464	twitter_iphone
Chairing YJP Media Summit (date night w @carriekerpen part 1 of 2!) (@ Chelsea Pearl) [pic]: http://t.co/3wxjcPtCfl	40.741304	-73.99585	New York, NY	10437802	1381270477	twitter_foursquare
Crossfit + hours of Homework = not a good mix http://t.co/QA63iFtVU5	40.70999087	-73.86651305		15226638	1381270479	twitter_iphone
One more visit for these braces then I can finally get them off hopefully	40.78015893	-73.95456294	New York City/Montreal	158212695	1381270481	twitter_iphone
I wonder how many times besides today, I've walked passed Diane Keaton not realizing it was her	40.70823552	-74.01390884		408988325	1381270493	twitter_iphone
I want to get a Tatto this weekend	40.70122321	-73.9772279	New York City	92703110	1381270495	twitter_iphone
No NJ trains running. I'm screwed.	40.7503526	-73.99124933	NJ and NYC	251467804	1381270498	twitter_iphone
Welp, guess I better bump up that cardio if I'm joining the company soccer team......! (@ Planet Fitness Wall Street) http://t.co/DQJyi7IDDV	40.70580095	-74.01348399	New York, NY	227479395	1381270500	twitter_foursquare
Come by in 22 minutes and see my low tide, I'll be 31 inches shallower than my usual level. I'll be much lower than usual.	40.723974	-73.922732	Brooklyn & Queens	460759854	1381270502	twitter_other
Someday I'm going to have enough cash, in reasonably small bills, to pick a food truck and proceed to buy food from it. #Food	40.72955861	-73.99656574		314113086	1381270504	twitter_iphone
YESSSS I passed all of Gracie's fashion checks and she's finally gonna build the boutique! #acnl	40.7536636	-74.04645061	NJ	21132588	1381270505	twitter_iphone
Didn't know it disappeared :: Neptune's lost inner moon found http://t.co/PkSXGv0wKl	40.740328	-74.0090612	San Francisco, California	3940101	1381270506	twitter_android
Pretty women with the #bff that looks hit&lt;	40.72742801	-73.98242253	N.Y.C. - MIA - L.A.	44004810	1381270513	twitter_iphone
Checking out a new spot...for me (it's been here almost 2 1/2 years)! (at @BadHorsePizza) http://t.co/grdUzf3zbf	40.80699136	-73.95339527	wherever style resides	32784623	1381270520	twitter_foursquare
#bangerz #mileychrist @ Planet Hollywood http://t.co/qY7RFLfsz1	40.758241	-73.985339	New Jersey	27721391	1381270523	twitter_instagram
 To hell with good intentions...  all ready for tonight's F L O W set. In the area? Come on over! http://t.co/gAcd9dgun1	40.72220556	-73.98172023	New York City, NY	47690165	1381270524	twitter_foursquare
#French #desserts you can't miss out on! #yummie #food (@ Casimir &amp; Co - @casimirny) [pic]: http://t.co/NJwUrRg71Q	40.77119352	-73.96189607	New York / Belgium	50800565	1381270529	twitter_foursquare
I'm talking 18 wheeler hit.	40.72753675	-73.98259459	N.Y.C. - MIA - L.A.	44004810	1381270531	twitter_iphone
If you call Mark Zuckerberg  Zuck-dawg  when you play tennis together, this could be the phone for you!!  http://t.co/ux9V6FCFOu	40.763645	-73.984897	VAN | LA | TO | NY	97562982	1381270532	twitter_other
OMFG I WAS WRONG. HE WAS FOLLOWING ME!!! HE STOPPED TO TALK TO ME!!!	40.69504619	-73.93828508	LAS VEGAS--MANHATTAN--BROOKLYN	214366007	1381270534	twitter_iphone
I'm next #swimming #heraldsquare #goodcause @ Herald Square http://t.co/4nZqwfCzGJ	40.7498254	-73.9879632		37470973	1381270537	twitter_instagram
Nobody understands my love for French bulldogs	40.7374797	-73.99737507		631749773	1381270543	twitter_iphone
I panic easily and think of the worst possible outcomes if situations. BAD HABIT	40.76732288	-73.86726992	New York City	55629039	1381270544	twitter_iphone
What great finds.... http://t.co/CwoivyPVqn	40.7517289	-74.0267166		93521398	1381270547	twitter_iphone
Forever a kid @ Toys R Us http://t.co/LLVjTW1ZfT	40.75727262	-73.98569171	34.982175; -81.08911	183013850	1381270553	twitter_instagram
Elephants and dinosaurs! @coldwellbanker #genblue http://t.co/Uiu2T5ug8a	40.78089789	-73.97315765	Cabot AR	222196001	1381270557	twitter_iphone
I'm at Home!! (New York, NY) http://t.co/uSQ3i6XnkK	40.72454481	-73.94186034	Brooklyn, NY	24551048	1381270558	twitter_foursquare
Put Your Hair In A Bun Nd Handle Your Shit	40.81886576	-73.95619537		1002546498	1381270565	twitter_iphone
I'm at Greenpoint (Brooklyn, NY) http://t.co/XFRu4tuZqU	40.72373001	-73.9508307	Brooklyn, NY	24551048	1381270566	twitter_foursquare
If you just joined us, welcome! The USA Recce Trip is kicking off, best you check out http://t.co/D8PhIBqdGt and get to grip with the vibe! 	40.7044798	-74.0145476	Southern Africa / USA	122763263	1381270580	twitter_android
I bet you'll find another	40.7993195	-73.94664467	New York, NY	1931360646	1381270580	twitter_iphone
Craving rumba baddd	40.7388909	-74.0396334	NJ/NY	65410036	1381270585	twitter_android
Rep. Charles Rangel arrested for protest in Washington DC: Congressman Charles Rangel was arrested by the Park... http://t.co/rzImYfPnNv	40.71669795	-74.00001602	New York	53932318	1381270592	twitter_other
#NYCC event! (at @GriffinNy w/ @val1128) http://t.co/vygZuwe8as	40.7394499	-74.00677014	New York, NY	298626580	1381270593	twitter_foursquare
Brooklyn Night Bazaar Will Operate Year-Round In Greenpoint: The popular Brooklyn Night Bazaar, which attracted a... http://t.co/aBEp2YLCW2	40.71669795	-74.00001602	New York	53932318	1381270593	twitter_other
Tasting the whiskies from The Lost Distillery! @ Brandy Library http://t.co/5IuadA6pFW	40.71981	-74.007007	Brooklyn, NY	90934737	1381270594	twitter_instagram
Get Your Tickets For The NKOTB Cruise, Departing From NYC Next June: As a devoted forever New Kids On The Block... http://t.co/kFbsf6ccVI	40.71669795	-74.00001602	New York	53932318	1381270594	twitter_other
@n_al2 ألغايب الحاضر .. الشاعر ناصر بن عبدالله آل ثاني #FF_Specialツ اشتقنا إليك فعلمنا أن لا نشتاق	40.76245	-73.977137	NEW YORK 	558750658	1366996197	twitter_other
Getting ready for winter!!! #winter #cold #coat #nj #hudson #river #nyc #style #isalatouchestyle #personalshopper http://t.co/piIcSmSCFy	40.7162402	-74.01587295		1090325732	1385432626	twitter_iphone
Fuck I just want a glass of wine, chicken nuggets, and Ryan Gosling in my bed	40.73653561	-73.9916921	212	341559143	1385432675	twitter_iphone
People who love to eat make the best type of friends	40.70122096	-73.98788095		542058558	1385432675	twitter_iphone
I'm so amazed! Let's go #encoreCORBIN !!! I've been hit by smooth criminals!!	40.72683204	-73.9788574	New York	39050986	1385432676	twitter_iphone
B	40.7867998	-73.98132156		80687359	1385432677	twitter_iphone
I'm at LIC Bar (Long Island City, NY) http://t.co/LJgjpuIyk8	40.747002	-73.952798	New York, NY	16308790	1385432678	twitter_foursquare
Niiiiiiice Corbin &amp; Karina!! They kicked ass!! #dwts	40.6932388	-73.8995691	Queens, NY	23897833	1385432680	twitter_other
My chemistry class was canceled for tomorrow. Praise The Lord above	40.75814233	-73.96666288	Manhattan 	633177079	1385432682	twitter_iphone
Tweet tweet	40.75652376	-74.03750262	new jersey	495423597	1385432689	twitter_iphone
After much study, I conclude that @mayagsachdev has a much more complex accent than some New Yorker. I'll have to study some more...	40.76364465	-73.98512883		2159407173	1385432690	twitter_iphone
I've had sex with all of you. Yes, even you.	40.7175708	-73.95796663	Queens / Brooklyn	198597249	1385432695	twitter_iphone
Honored that @BeautyandEssex #regrammed my @instagram of my epically delicious Sunday brunch http://t.co/eZ6q0yo6QL	40.73070285	-73.98015143	New York, NY	401703632	1381270594	twitter_iphone
Week One of the Shop Owner Challenge compete! Woo! (@ Shapeways HQ) http://t.co/xb62FEGYLt	40.74369458	-73.98374615	New York, NY	47824384	1381270595	twitter_foursquare
Daily Telegraph also splashes attack on Guardian. M15: leaks a gift to terrorists to attack us at will.	40.80794098	-73.95986722	New York	21331369	1381270596	twitter_other
Photo: Barefoot Beer-Drinking Subway Riding Mama Knows How To Unwind: We tend to rag on rude subway riders, but... http://t.co/cykfz7Gydx	40.71669795	-74.00001602	New York	53932318	1381270596	twitter_other
New Banksy Piece Goes Up In Greenpoint (Only To Be Taken Down Within Hours): Banksy has just posted this photo of... http://t.co/gPAYstVPoV	40.71669795	-74.00001602	New York	53932318	1381270597	twitter_other
Video, Photos: This Guy Keeps Tagging The Banksy Pieces: Yesterday, just after the location of Banksy's new piece... http://t.co/YK8pEf4L4w	40.71669795	-74.00001602	New York	53932318	1381270598	twitter_other
Fall #2013 NYC @ Superior Florist http://t.co/sHHILgtDni	40.74650587	-73.99012221	New Jersey	176423341	1381270600	twitter_instagram
Holy shit man I'm not touching another beer til Sunday	40.79157257	-74.00007438	NJ/Home of The Jets 	38994410	1381270604	twitter_iphone
Ivette's son is so cute!	40.77798621	-74.01984368	New Jersey.  	30950749	1381270606	twitter_iphone
So Miley Cyrus Is in @PlanetHollywood. #MileyCantTwerk	40.75842705	-73.98430915	Elmhurst & Bronx NY, Newark NJ	127648148	1381270615	twitter_iphone
The new lays commercial is too close to my life, and I don't know how to feel about it	40.69075382	-73.91852434		1219283058	1381270619	twitter_iphone
45 more minutes till the the first day of say yes to the beats and no to the streets kids breakdancing class!!! 7pm 80th st &amp; roosevelt ave!	40.74185706	-73.86633991	new york	52636361	1381270619	twitter_iphone
I'm at Meade's Restaurant (New York, NY) http://t.co/o1pXo73Bsm	40.70815731	-74.00193257	Manhattan, NY	19625559	1381270628	twitter_foursquare
Just saw this lady paint her nails and drive......	40.73451951	-74.04398007	Dont worry im a doctor 	394969274	1381270634	twitter_iphone
If it makes you happy, it can't b that bad	40.71738806	-73.98497467	the halsey j	1910216960	1381270634	twitter_iphone
There's honor in being honest. As per @audubon_	40.72738655	-73.98248075	N.Y.C. - MIA - L.A.	44004810	1381270636	twitter_iphone
60 some hrs left. Help us get to to goal. http://t.co/vFFe76WPIK. @SHoney73  CALLING ALL FANS. CALLING ALL FANS!	40.78571934	-73.97559916	Manhattan	159643163	1381270639	twitter_iphone
I'm at @HighLineNyc (New York, NY) w/ 10 others http://t.co/dakZu75btN	40.74706189	-74.00519371	NYC - Hells Kitchen	52382923	1381270639	twitter_foursquare
I just love that you're dead inside	40.73684601	-73.99846278		55302707	1381270646	twitter_iphone
Above all else Happy birthday to the lil homie!!!! http://t.co/tloerE6LLF	40.77030851	-73.98807325	Upper End, New York	378368728	1381270647	twitter_iphone
im eating hot cheetos and my nose is running cc: @djsweatydank	40.81572393	-73.9590652	new york is nice 	49369940	1381270650	twitter_iphone
Drug deals, murders, and beat downs:  they're witness to it all #PIC	40.74720356	-73.97629444	New York, NY, USA	29400182	1381270654	twitter_iphone
Elephants! @coldwellbanker #genblue http://t.co/sWI5ROzFsC	40.78083003	-73.97291294	Cabot AR	222196001	1381270654	twitter_iphone
Gracias bella:* @claracalderon04: @anitapaulino07 me gusta tu avatar!! 	40.7895669	-73.9460662	NYC!	722612593	1381270659	twitter_android
Puerto rican food :-P	40.7502287	-74.0323703		301481368	1381270659	twitter_android
